=== REPORTE DE VERIFICACION DE IGUALDAD SERIAL VS PARALELO ===
Criterio: Coincidencia por valor con tolerancia 0 (Seccion 1.6 y Seccion 6)

N=1000 n=2 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.075109, dMax=139.477816)
N=1000 n=2 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.075109, dMax=139.477816)
N=1000 n=2 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.075109, dMax=139.477816)
N=1000 n=2 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.075109, dMax=139.477816)
N=10000 n=2 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.003894, dMax=140.156949)
N=10000 n=2 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.003894, dMax=140.156949)
N=10000 n=2 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.003894, dMax=140.156949)
N=10000 n=2 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.003894, dMax=140.156949)
N=100000 n=2 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.000742, dMax=141.073333)
N=100000 n=2 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.000742, dMax=141.073333)
N=100000 n=2 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.000742, dMax=141.073333)
N=100000 n=2 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.000742, dMax=141.073333)
N=1000 n=3 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.986066, dMax=161.084928)
N=1000 n=3 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.986066, dMax=161.084928)
N=1000 n=3 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.986066, dMax=161.084928)
N=1000 n=3 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.986066, dMax=161.084928)
N=10000 n=3 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.210410, dMax=167.235433)
