N,n,T,puntosPorBloque,tiempo_ms,d_min,d_max,idx_min_i,idx_min_j,idx_max_i,idx_max_j
1000,2,1,1000,8.252,0.075109,139.477816,508,691,219,875
1000,2,1,1000,7.655,0.075109,139.477816,508,691,219,875
1000,2,2,1000,2.938,0.075109,139.477816,508,691,219,875
1000,2,4,1000,4.383,0.075109,139.477816,508,691,219,875
1000,2,8,1000,3.951,0.075109,139.477816,508,691,219,875
10000,2,1,10000,154.764,0.003894,140.156949,3199,4378,219,8882
10000,2,1,10000,132.001,0.003894,140.156949,3199,4378,219,8882
10000,2,2,10000,160.559,0.003894,140.156949,3199,4378,219,8882
10000,2,4,10000,136.539,0.003894,140.156949,3199,4378,219,8882
10000,2,8,10000,146.227,0.003894,140.156949,3199,4378,219,8882
100000,2,1,100000,17974.472,0.000742,141.073333,71153,97760,8882,81142
100000,2,1,100000,13920.424,0.000742,141.073333,71153,97760,8882,81142
100000,2,2,100000,13563.405,0.000742,141.073333,71153,97760,8882,81142
100000,2,4,100000,13669.730,0.000742,141.073333,71153,97760,8882,81142
100000,2,8,100000,13693.126,0.000742,141.073333,71153,97760,8882,81142
1000,3,1,1000,2.401,0.986066,161.084928,429,632,300,721
1000,3,1,1000,2.093,0.986066,161.084928,429,632,300,721
1000,3,2,1000,2.516,0.986066,161.084928,429,632,300,721
1000,3,4,1000,1.941,0.986066,161.084928,429,632,300,721
1000,3,8,1000,1.928,0.986066,161.084928,429,632,300,721
10000,3,1,10000,196.932,0.210410,167.235433,3919,7921,300,2865
10000,3,1,10000,163.338,0.210410,167.235433,3919,7921,300,2865
10000,3,2,10000,161.549,0.210410,167.235433,3919,7921,300,2865
10000,3,4,10000,165.692,0.210410,167.235433,3919,7921,300,2865
10000,3,8,10000,163.819,0.210410,167.235433,3919,7921,300,2865
100000,3,1,100000,21092.446,0.038683,169.914418,34795,61821,56750,58658
100000,3,1,100000,15947.469,0.038683,169.914418,34795,61821,56750,58658
100000,3,2,100000,15878.978,0.038683,169.914418,34795,61821,56750,58658
100000,3,4,100000,15828.446,0.038683,169.914418,34795,61821,56750,58658
100000,3,8,100000,15932.687,0.038683,169.914418,34795,61821,56750,58658
1000,10,1,1000,3.253,23.924581,234.157219,146,953,69,277
1000,10,1,1000,3.635,23.924581,234.157219,146,953,69,277
1000,10,2,1000,4.278,23.924581,234.157219,146,953,69,277
1000,10,4,1000,4.032,23.924581,234.157219,146,953,69,277
1000,10,8,1000,4.334,23.924581,234.157219,146,953,69,277
10000,10,1,10000,273.209,15.290753,249.630087,2190,6688,6356,7935
10000,10,1,10000,336.861,15.290753,249.630087,2190,6688,6356,7935
10000,10,2,10000,341.296,15.290753,249.630087,2190,6688,6356,7935
10000,10,4,10000,364.716,15.290753,249.630087,2190,6688,6356,7935
10000,10,8,10000,360.430,15.290753,249.630087,2190,6688,6356,7935
100000,10,1,52428,36605.130,10.000265,258.667902,4223,50336,5399,72096
100000,10,1,52428,35935.284,10.000265,258.667902,4223,50336,5399,72096
100000,10,2,52428,20117.287,10.000265,258.667902,4223,50336,5399,72096
100000,10,4,52428,20047.883,10.000265,258.667902,4223,50336,5399,72096
100000,10,8,52428,19834.464,10.000265,258.667902,4223,50336,5399,72096
1000,100,1,1000,23.670,271.082010,511.781733,209,501,493,866
1000,100,1,1000,34.175,271.082010,511.781733,209,501,493,866
1000,100,2,1000,28.412,271.082010,511.781733,209,501,493,866
1000,100,4,1000,29.274,271.082010,511.781733,209,501,493,866
1000,100,8,1000,33.570,271.082010,511.781733,209,501,493,866
10000,100,1,5242,2113.370,271.082010,533.539041,209,501,4154,6410
10000,100,1,5242,2411.518,271.082010,533.539041,209,501,4154,6410
10000,100,2,5242,1594.503,271.082010,533.539041,209,501,4154,6410
10000,100,4,5242,1100.117,271.082010,533.539041,209,501,4154,6410
10000,100,8,5242,1127.979,271.082010,533.539041,209,501,4154,6410
1000,1000,1,524,235.575,1181.932668,1408.479170,833,913,138,384
1000,1000,1,524,255.411,1181.932668,1408.479170,833,913,138,384
1000,1000,2,524,154.939,1181.932668,1408.479170,833,913,138,384
1000,1000,4,524,128.296,1181.932668,1408.479170,833,913,138,384
1000,1000,8,524,124.127,1181.932668,1408.479170,833,913,138,384
10000,1000,1,524,22509.145,1160.013844,1420.815519,6494,6579,1896,7527
10000,1000,1,524,23808.369,1160.013844,1420.815519,6494,6579,1896,7527
10000,1000,2,524,12758.291,1160.013844,1420.815519,6494,6579,1896,7527
10000,1000,4,524,7001.707,1160.013844,1420.815519,6494,6579,1896,7527
10000,1000,8,524,4064.744,1160.013844,1420.815519,6494,6579,1896,7527
1000,3,1,50,2.939,0.986066,161.084928,429,632,300,721
1000,3,1,50,3.757,0.986066,161.084928,429,632,300,721
1000,3,2,50,2.183,0.986066,161.084928,429,632,300,721
1000,3,4,50,1.781,0.986066,161.084928,429,632,300,721
1000,3,8,50,1.363,0.986066,161.084928,429,632,300,721
